Report Date,Cash & Equivalents,Short Term Investments,Cash & Equivs & ST Investments,Receivables (ST),Inventories,Current Tax Assets,Prepayments (ST),Other Current Assets,Total Current Assets,Gross Property Plant & Equip,Accumulated Depreciation,Net Property Plant & Equip,Long Term Investments,Intangible Assets,Prepayments (LT),Deferred LT Assets,Other Assets,Total Assets,Accounts Payable & Accrued Exps,Accounts Payable,Accrued Expenses,Current Debt,Other Current Liabilities,Total Current Liabilities,LT Debt & Leases,Deferred LT Liabilities,Minority Interests,Other Liabilities,Total Liabilities,Common Share Capital,Retained Earnings,Accum Other Comprehensive Income,For Curr Trans (BS),Other Equity,Total Equity,Total Liabilities & Equity,Sales Revenue,Total Revenue,Direct Costs,Gross Profit,Selling General & Admin,Research & Development,Other Operating Expense,Total Indirect Operating Costs,Operating Income,Interest Income,Other Non0Operating Income,Total Non0Operating Income,Earnings Before Tax,Taxation,Extraordinary Items,Accounting Changes,Net Income,Preference Dividends & Similar,Net Income to Common,Average Shares Basic,EPS Net Basic,EPS Continuing Basic,Average Shares Diluted,EPS Net Diluted,EPS Continuing Diluted,Shares Outstanding,Net Income (Cumu),Adjustments from Inc to Cash (Cumu),Change in Working Capital (Cumu),Cash Flow from Operations (Cumu),Purchase of Pty Plant & Equip (Cumu),Investment Purchase (Cumu),Investment Disposal (Cumu),Change in Business Activities (Cumu),Other Investing Cash Flows (Cumu),Cash Flow from Investing (Cumu),Change in ST Debt (Cumu),Change in LT Debt (Cumu),Change in Equity (Cumu),Payment of Dividends (Cumu),Other Financing Cash Flows (Cumu),Cash Flow from Financing (Cumu),Change in Cash (Cumu),Opening Cash (Cumu),Closing Cash,Depn & Amortn (CF) (Cumu),Net Purch of Pty Plant & Equip (Cumu),Cash & Equivalents %TA,Short Term Investments %TA,Cash & Equivs & ST Investments %TA,Receivables (ST) %TA,Inventories %TA,Current Tax Assets %TA,Prepayments ST %TA,Other Current Assets %TA,Total Current Assets %TA,Gross Property Plant & Equip %TA,Accumulated Depreciation %TA,Net Property Plant & Equip %TA,LT Investments %TA,Intangible Assets %TA,Prepayments LT %TA,Deferred LT Assets %TA,Other Assets %TA,Total Assets as 100%,Accounts Payable & Accrued Exps %TA,Accounts Payable %TA,Accrued Expenses %TA,Current Debt %TA,Other Current Liabilities %TA,Total Current Liabilities %TA,LT Debt & Lease %TA,Deferred LT Liabilities %TA,Minority Interests %TA,Other Liabilities %TA,Total Liabilities %TA,Common Share Capital %TA,Retained Earnings %TA,Accum Other Comprehens Income %TA,Other Equity %TA,Total Equity %TA,Total Liabilities & Equity %TA,Sales Revenue %TR,Total Revenue (100% TR),Direct Costs %TR,Gross Profit %TR,Selling General & Admin %TR,Research & Development %TR,Other Operating Expense %TR,Total Indirect Operating Costs %TR,Operating Income %TR,Interest Income %TR,Other Non0Operating Income %TR,Total Non0Operating Income %TR,Earnings Before Tax %TR,Taxation %TR,Extraordinary Items %TR,Accounting Changes %TR,Net Income %TR,Preference Dividends & Similar %TR,Net Income to Common %TR
03/31/2018,45059,42881,87940,22408,7662,0,0,12043,130053,80502,45425,35077,179286,0,0,0,23086,367502,61067,34311,26756,20478,7775,89320,101362,3635,0,46307,240624,0,91898,3064,227,38271,126878,367502,61137,61137,37715,23422,4150,3378,0,7528,15894,713,439,274,16168,2346,0,0,13822,0,13822,5024.877,2.75,2.75,5068.493,2.73,2.73,4943.282,33887,26258,35794,43423,7005,48449,70826,305,53,15120,1,6469,32524,6529,1190,33773,24770,20289,45059,5484,7005,12.261,11.668,23.929,6.097,2.085,0,0,3.277,35.388,21.905,12.36,9.545,48.785,0,0,0,6.282,100,16.617,9.336,7.281,5.572,2.116,24.305,27.581,0.989,0,12.6,65.476,0,25.006,0.834,10.414,34.524,100,100,100,61.689,38.311,6.788,5.525,0,12.313,25.997,1.166,0.718,0.448,26.446,3.837,0,0,22.608,0,22.608
12/30/2017,27491,49662,77153,50899,4421,0,0,11337,143810,77110,43431,33679,207944,8038,0,0,13323,406794,89266,62985,26281,18478,8044,115788,103922,3679,0,43206,266595,0,104593,841,314,36761,140199,406794,88293,88293,54381,33912,4231,3407,0,7638,26274,718,38,756,27030,6965,0,0,20065,0,20065,5112.877,3.92,3.92,5157.787,3.89,3.89,5081.651,20065,29707,37935,28293,2810,41366,30849,173,90,13590,2,6969,10095,3339,1038,7501,7202,20289,27491,2745,2810,6.758,12.208,18.966,12.512,1.087,0,0,2.787,35.352,18.956,10.676,8.279,51.118,1.976,0,0,3.275,100,21.944,15.483,6.461,4.542,1.977,28.464,25.547,0.904,0,10.621,65.536,0,25.712,0.207,9.037,34.464,100,100,100,61.592,38.408,4.792,3.859,0,8.651,29.758,0.813,0.043,0.856,30.614,7.889,0,0,22.725,0,22.725
09/30/2017,20289,53892,74181,35673,4855,0,0,13936,128645,75076,41293,33783,194714,8015,0,0,10162,375319,74793,49049,25744,18473,7548,100814,97207,34340,0,8911,241272,35867,98330,150,354,354,134047,375319,52579,52579,32648,19931,3814,2997,0,6811,13120,702,95,797,13917,3203,0,0,10714,0,10714,5149.427,2.09,2.09,5183.586,2.07,2.07,5126.201,48351,20797,5550,63598,12451,159881,126339,329,124,46446,3852,25162,31718,12769,1874,17347,195,20484,20289,10157,12451,5.406,14.359,19.765,9.505,1.294,0,0,3.713,34.276,20.003,11.002,9.001,51.88,2.136,0,0,2.708,100,19.928,13.069,6.859,4.922,2.011,26.861,25.9,9.15,0,2.374,64.285,9.556,26.199,0.04,0.094,35.715,100,100,100,62.093,37.907,7.254,5.7,0,12.954,24.953,1.335,0.181,1.516,26.469,6.092,0,0,20.377,0,20.377
07/01/2017,18571,58188,76759,22632,3146,0,0,10338,112875,68981,39695,29286,184757,8105,0,0,10150,345173,55219,31915,23304,18475,7608,81302,89864,33175,0,8407,212748,34445,98525,545,619,619,132425,345173,45408,45408,27920,17488,3783,2937,0,6720,10768,725,185,540,11308,2591,0,0,8717,0,8717,5195.088,1.68,1.68,5233.499,1.67,1.67,5169.782,37637,15961,5656,47942,8586,123868,96094,248,104,36504,3866,18225,24297,9499,1646,13351,1913,20484,18571,7673,8586,5.38,16.858,22.238,6.557,0.911,0,0,2.995,32.701,19.984,11.5,8.484,53.526,2.348,0,0,2.941,100,15.997,9.246,6.751,5.352,2.204,23.554,26.034,9.611,0,2.436,61.635,9.979,28.544,0.158,0.179,38.365,100,100,100,61.487,38.513,8.331,6.468,0,14.799,23.714,1.597,0.407,1.189,24.903,5.706,0,0,19.197,0,19.197
04/01/2017,15157,51944,67101,20612,2910,0,0,11367,101990,65124,37961,27163,189740,8090,0,0,7549,334532,51669,28573,23096,13991,7682,73342,84531,31333,0,11244,200450,0,100925,422,739,34318,134082,334532,52896,52896,32305,20591,3718,2776,0,6494,14097,752,165,587,14684,3655,0,0,11029,0,11029,5225.791,2.11,2.11,5261.688,2.1,2.1,5205.815,28920,10405,254,39579,6309,99821,72883,67,10,33324,1879,10975,17514,6134,788,11582,5327,20484,15157,5319,6309,4.531,15.527,20.058,6.161,0.87,0,0,3.398,30.487,19.467,11.347,8.12,56.718,2.418,0,0,2.257,100,15.445,8.541,6.904,4.182,2.296,21.924,25.268,9.366,0,3.361,59.92,0,30.169,0.126,10.259,40.08,100,100,100,61.073,38.927,7.029,5.248,0,12.277,26.65,1.422,0.312,1.11,27.76,6.91,0,0,20.85,0,20.85
12/31/2016,16371,44081,60452,27977,2712,0,0,12191,103332,62759,36249,26510,185638,8271,0,0,7390,331141,62249,38510,23739,13992,7889,84130,73557,30111,0,10953,198751,0,100001,245,953,33097,132390,331141,78351,78351,48175,30176,3946,2871,0,6817,23359,699,122,821,24180,6289,0,0,17891,0,17891,5298.661,3.38,3.38,5327.995,3.36,3.36,5255.423,17891,5421,3744,27056,3334,54272,38691,17,190,19122,2385,0,10673,3130,629,12047,4113,20484,16371,2987,3334,4.944,13.312,18.256,8.449,0.819,0,0,3.682,31.205,18.952,10.947,8.006,56.06,2.498,0,0,2.232,100,18.798,11.629,7.169,4.225,2.382,25.406,22.213,9.093,0,3.308,60.02,0,30.199,0.074,9.995,39.98,100,100,100,61.486,38.514,5.036,3.664,0,8.701,29.813,0.892,0.156,1.048,30.861,8.027,0,0,22.834,0,22.834
09/24/2016,20484,46671,67155,29299,2132,0,0,8283,106869,61245,34235,27010,170430,8620,0,0,8757,321686,59321,37294,22027,11605,8080,79006,75427,28949,0,10055,193437,31251,96364,634,578,578,128249,321686,46852,46852,29039,17813,3482,2570,0,6052,11761,586,159,427,12188,3174,0,0,9014,0,9014,5366.912,1.69,1.69,5393.331,1.69,1.69,5336.166,45687,19653,484,65824,12734,143816,111794,297,924,45977,397,22454,28820,12150,1570,20483,636,21120,20484,10505,12734,6.368,14.508,20.876,9.108,0.663,0,0,2.575,33.222,19.039,10.642,8.396,52.98,2.68,0,0,2.722,100,18.441,11.593,6.847,3.608,2.512,24.56,23.447,8.999,0,3.126,60.132,9.715,29.956,0.197,0.18,39.868,100,100,100,61.98,38.02,7.432,5.485,0,12.917,25.102,1.251,0.339,0.911,26.014,6.775,0,0,19.239,0,19.239
06/25/2016,18237,43519,61756,19042,1831,0,0,11132,93761,57991,32543,25448,169764,8767,0,0,7862,305602,47138,26318,20820,15996,8352,71486,68939,27624,0,11012,179061,30106,96542,107,589,589,126541,305602,42358,42358,26252,16106,3441,2560,0,6001,10105,627,263,364,10469,2673,0,0,7796,0,7796,5443.058,1.43,1.43,5472.781,1.42,1.42,5393.165,36673,16328,3303,49698,8757,113444,84841,146,1074,38580,3992,15484,23058,9058,1361,14001,2883,21120,18237,7957,8757,5.968,14.24,20.208,6.231,0.599,0,0,3.643,30.681,18.976,10.649,8.327,55.551,2.869,0,0,2.573,100,15.425,8.612,6.813,5.234,2.733,23.392,22.558,9.039,0,3.603,58.593,9.851,31.591,0.035,0.193,41.407,100,100,100,61.976,38.024,8.124,6.044,0,14.167,23.856,1.48,0.621,0.859,24.716,6.31,0,0,18.405,0,18.405
03/26/2016,21514,33769,55283,19824,2281,0,0,10204,87592,54051,30848,23203,177645,9092,0,0,7745,305277,48306,25098,23208,10498,9461,68265,69374,26277,0,10904,174820,0,102021,1048,635,30119,130457,305277,50557,50557,30636,19921,3423,2511,0,5934,13987,665,510,155,14142,3626,0,0,10516,0,10516,5514.381,1.91,1.91,5540.886,1.9,1.9,5478.446,28877,10649,462,39064,5948,86242,59199,140,979,34110,503,15584,13019,5871,751,4560,394,21120,21514,5431,5948,7.047,11.062,18.109,6.494,0.747,0,0,3.343,28.693,17.706,10.105,7.601,58.191,2.978,0,0,2.537,100,15.824,8.221,7.602,3.439,3.099,22.362,22.725,8.608,0,3.572,57.266,0,33.419,0.343,9.866,42.734,100,100,100,60.597,39.403,6.771,4.967,0,11.737,27.666,1.315,1.009,0.307,27.972,7.172,0,0,20.8,0,20.8
12/26/2015,16689,21385,38074,24621,2451,0,0,11073,76219,51342,29042,22300,177665,9126,0,0,7974,293284,57344,33312,24032,9759,8989,76092,53204,25163,0,10558,165017,28253,101494,1480,755,755,128267,293284,75872,75872,45449,30423,3848,2404,0,6252,24171,665,263,402,24573,6212,0,0,18361,0,18361,5558.93,3.3,3.3,5594.127,3.28,3.28,5544.487,18361,5624,3478,27463,3612,47836,31776,86,692,20450,1240,0,6638,2969,597,11444,4431,21120,16689,2954,3612,5.69,7.292,12.982,8.395,0.836,0,0,3.776,25.988,17.506,9.902,7.604,60.578,3.112,0,0,2.719,100,19.552,11.358,8.194,3.327,3.065,25.945,18.141,8.58,0,3.6,56.265,9.633,34.606,0.505,0.257,43.735,100,100,100,59.902,40.098,5.072,3.168,0,8.24,31.858,0.876,0.347,0.53,32.387,8.187,0,0,24.2,0,24.2
09/26/2015,21120,20481,41601,30343,2349,5546,0,9539,89378,49257,26786,22471,164065,9009,0,0,5556,290479,60671,35490,25181,10999,8940,80610,53463,27686,0,9365,171124,27416,92284,345,653,653,119355,290479,51501,51501,30953,20548,3705,2220,0,5925,14623,588,149,439,15062,3938,0,0,11124,0,11124,5646.918,1.98,1.98,5682.516,1.97,1.97,5578.753,53394,16225,11647,81266,11247,166402,121985,343,267,56274,2191,27114,33961,11561,1499,17716,7276,13844,21120,11257,11247,7.271,7.051,14.322,10.446,0.809,1.909,0,3.284,30.769,16.957,9.221,7.736,56.481,3.101,0,0,1.913,100,20.887,12.218,8.669,3.787,3.078,27.751,18.405,9.531,0,3.224,58.911,9.438,31.77,0.119,0.225,41.089,100,100,100,60.102,39.898,7.194,4.311,0,11.505,28.394,1.142,0.289,0.852,29.246,7.646,0,0,21.6,0,21.6
06/27/2015,15319,19384,34703,19907,2042,5010,0,9291,70953,45544,24395,21149,168145,8823,0,0,4081,273151,36379,26474,9905,6999,21907,65285,47419,28013,0,6757,147474,26327,98252,1098,421,421,125677,273151,49605,49605,29924,19681,3564,2034,0,5598,14083,565,175,390,14473,3796,0,0,10677,0,10677,5729.886,1.86,1.86,5773.099,1.85,1.85,5705.4,42270,13629,11892,67791,7629,137524,90551,230,67,54899,1808,21312,20992,8597,1332,11417,1475,13844,15319,8138,7629,5.608,7.096,12.705,7.288,0.748,1.834,0,3.401,25.976,16.674,8.931,7.743,61.558,3.23,0,0,1.494,100,13.318,9.692,3.626,2.562,8.02,23.901,17.36,10.256,0,2.474,53.99,9.638,35.97,0.402,0.154,46.01,100,100,100,60.325,39.675,7.185,4.1,0,11.285,28.39,1.139,0.353,0.786,29.176,7.652,0,0,21.524,0,21.524
03/28/2015,14489,18607,33096,18164,2396,5141,0,9094,67891,42460,22309,20151,160443,8772,0,0,3937,261194,32957,23159,9798,3799,21973,58729,40072,27396,0,5991,132188,0,100920,2710,488,25864,129006,261194,58010,58010,34354,23656,3460,1918,0,5378,18278,512,226,286,18564,4995,0,0,13569,0,13569,5793.799,2.34,2.34,5834.858,2.33,2.33,5762.278,31593,8748,12462,52803,5586,92523,54795,115,67,43496,2508,11332,11334,5544,608,8662,645,13844,14489,5054,5586,5.547,7.124,12.671,6.954,0.917,1.968,0,3.482,25.993,16.256,8.541,7.715,61.427,3.358,0,0,1.507,100,12.618,8.867,3.751,1.454,8.413,22.485,15.342,10.489,0,2.294,50.609,0,38.638,1.038,9.902,49.391,100,100,100,59.221,40.779,5.964,3.306,0,9.271,31.508,0.883,0.39,0.493,32.001,8.611,0,0,23.391,0,23.391
12/27/2014,19478,12985,32463,29976,2283,5046,0,13635,83403,40747,20355,20392,145492,8999,0,0,3608,261894,48114,38001,10113,3899,21598,73611,32504,26851,0,5600,138566,24187,97178,1963,308,308,123328,261894,74599,74599,44858,29741,3600,1895,0,5495,24246,523,353,170,24416,6392,0,0,18024,0,18024,5843.082,3.08,3.08,5881.803,3.06,3.06,5826.419,18024,5660,10038,33722,3217,44915,26973,23,17,21165,2409,3485,4686,2801,512,6923,5634,13844,19478,2575,3217,7.437,4.958,12.395,11.446,0.872,1.927,0,5.206,31.846,15.559,7.772,7.786,55.554,3.436,0,0,1.378,100,18.372,14.51,3.861,1.489,8.247,28.107,12.411,10.253,0,2.138,52.909,9.235,37.106,0.75,0.118,47.091,100,100,100,60.132,39.868,4.826,2.54,0,7.366,32.502,0.701,0.473,0.228,32.73,8.568,0,0,24.161,0,24.161
09/27/2014,13844,11233,25077,27219,2111,4318,0,9806,68531,39015,18391,20624,130162,8758,0,0,3764,231839,39094,30196,8898,6308,18046,63448,28987,23290,0,4567,120292,23313,87152,1082,242,242,111547,231839,42123,42123,26114,16009,3158,1686,0,4844,11165,404,97,307,11472,3005,0,0,8467,0,8467,5933.847,1.43,1.43,5972.081,1.42,1.42,5866.161,39510,13156,7047,59713,9571,217128,208111,3765,226,22579,6306,11960,43531,11126,1158,37549,415,14259,13844,7946,9571,5.971,4.845,10.817,11.74,0.911,1.862,0,4.23,29.56,16.828,7.933,8.896,56.143,3.778,0,0,1.624,100,16.863,13.025,3.838,2.721,7.784,27.367,12.503,10.046,0,1.97,51.886,10.056,37.592,0.467,0.104,48.114,100,100,100,61.995,38.005,7.497,4.003,0,11.5,26.506,0.959,0.23,0.729,27.235,7.134,0,0,20.101,0,20.101
06/28/2014,12977,24828,37805,16841,1594,3884,0,7825,67949,34453,16868,17585,126685,6141,0,0,4160,222520,29134,20535,8599,2010,15061,46205,29030,23217,0,3128,101580,22139,98715,86,140,140,120940,222520,37432,37432,22697,14735,2850,1603,0,4453,10282,339,137,202,10484,2736,0,0,7748,0,7748,6012.635,1.29,1.29,6051.711,1.28,1.28,5989.171,31043,11232,4188,46463,5745,160662,141938,898,209,25576,2010,11960,27003,8297,839,22169,1282,14259,12977,5977,5745,5.832,11.158,16.989,7.568,0.716,1.745,0,3.517,30.536,15.483,7.58,7.903,56.932,2.76,0,0,1.869,100,13.093,9.228,3.864,0.903,6.768,20.764,13.046,10.434,0,1.406,45.65,9.949,44.362,0.039,0.063,54.35,100,100,100,60.635,39.365,7.614,4.282,0,11.896,27.468,0.906,0.366,0.54,28.008,7.309,0,0,20.699,0,20.699
